student_ID,knowledge_point,mastery_level
0088dc183f73c83f763e,b3C9s,0.6910542300307211
0088dc183f73c83f763e,g7R2j,0.6414355936552233
0088dc183f73c83f763e,k4W1c,0.5496402877697842
0088dc183f73c83f763e,m3D1v,0.6059949835757218
0088dc183f73c83f763e,r8S3g,0.5162085782455903
0088dc183f73c83f763e,s8Y2f,0.4936086105675146
0088dc183f73c83f763e,t5V9e,0.4832879852671856
0088dc183f73c83f763e,y9W5d,0.6694044382976905
00cbf05221bb479e66c3,b3C9s,0.6166426734733315
00cbf05221bb479e66c3,g7R2j,0.5587236125716798
00cbf05221bb479e66c3,k4W1c,0.6119184652278178
00cbf05221bb479e66c3,m3D1v,0.5880487456826924
00cbf05221bb479e66c3,r8S3g,0.46006821256409997
00cbf05221bb479e66c3,s8Y2f,0.5200547945205479
00cbf05221bb479e66c3,t5V9e,0.5023562750119765
00cbf05221bb479e66c3,y9W5d,0.5199884414974326
00df647ee4bf7173642f,b3C9s,0.4479177008596049
00df647ee4bf7173642f,g7R2j,0.4184984071311246
00df647ee4bf7173642f,k4W1c,0.5564628297362111
00df647ee4bf7173642f,m3D1v,0.5186361406805622
00df647ee4bf7173642f,r8S3g,0.4804535568899663
00df647ee4bf7173642f,s8Y2f,0.4848036529680365
00df647ee4bf7173642f,t5V9e,0.44710096353571904
00df647ee4bf7173642f,y9W5d,0.4801659269873875
0107f72b66cbd1a0926d,b3C9s,0.8820592052723485
0107f72b66cbd1a0926d,g7R2j,0.5987568153773584
0107f72b66cbd1a0926d,k4W1c,0.5039054470709147
0107f72b66cbd1a0926d,m3D1v,0.6797773072090422
0107f72b66cbd1a0926d,r8S3g,0.6985055111069233
0107f72b66cbd1a0926d,s8Y2f,0.5725388127853881
0107f72b66cbd1a0926d,t5V9e,0.6264164311504731
0107f72b66cbd1a0926d,y9W5d,0.6488694475157266
011d454f199c123d44ad,b3C9s,0.6061960284679038
011d454f199c123d44ad,g7R2j,0.6499738276877285
