student_ID,title_ID,total_submissions,correct_submissions,correct_rate,is_perfect,has_correct
0088dc183f73c83f763e,Question_3MwAFlmNO8EKrpY5zjUd,23,1,0.043478260869565216,False,True
0088dc183f73c83f763e,Question_3oPyUzDmQtcMfLpGZ0jW,9,1,0.1111111111111111,False,True
0088dc183f73c83f763e,Question_4nHcauCQ0Y6Pm8DgKlLo,7,1,0.14285714285714285,False,True
0088dc183f73c83f763e,Question_5fgqjSBwTPG7KUV3it6O,22,1,0.045454545454545456,False,True
0088dc183f73c83f763e,Question_62XbhBvJ8NUSnApgDL94,1,1,1.0,True,True
0088dc183f73c83f763e,Question_6RQj2gF3OeK5AmDvThUV,1,1,1.0,True,True
0088dc183f73c83f763e,Question_7NJzCXUPcvQF4Mkfh9Wr,2,1,0.5,False,True
0088dc183f73c83f763e,Question_Az73sM0rHfWVKuc4X2kL,4,1,0.25,False,True
0088dc183f73c83f763e,Question_BW0ItEaymH3TkD6S15JF,8,2,0.25,False,True
0088dc183f73c83f763e,Question_EhVPdmlB31M8WKGqL0wc,11,1,0.09090909090909091,False,True
0088dc183f73c83f763e,Question_Ej5mBw9rsOUKkFycGvz2,1,1,1.0,True,True
0088dc183f73c83f763e,Question_FNg8X9v5zcbB1tQrxHR3,1,1,1.0,True,True
0088dc183f73c83f763e,Question_Jr4Wz5jLqmN01KUwHa7g,5,1,0.2,False,True
0088dc183f73c83f763e,Question_Mh4CZIsrEfxkP1wXtOYV,1,1,1.0,True,True
0088dc183f73c83f763e,Question_NixCn84GdK2tySa5rB1V,1,1,1.0,True,True
0088dc183f73c83f763e,Question_Ou3f2Wt9BqExm5DpN7Zk,14,2,0.14285714285714285,False,True
0088dc183f73c83f763e,Question_QRm48lXxzdP7Tn1WgNOf,2,2,1.0,True,True
0088dc183f73c83f763e,Question_TmKaGvfNoXYq4FZ2JrBu,5,1,0.2,False,True
0088dc183f73c83f763e,Question_UXqN1F7G3Sbldz02vZne,1,1,1.0,True,True
0088dc183f73c83f763e,Question_VgKw8PjY1FR6cm2QI9XW,9,1,0.1111111111111111,False,True
0088dc183f73c83f763e,Question_X3wF8QlTyi4mZkDp9Kae,1,1,1.0,True,True
0088dc183f73c83f763e,Question_YWXHr4G6Cl7bEm9iF2kQ,3,1,0.3333333333333333,False,True
0088dc183f73c83f763e,Question_ZTbD7mxr2OUp8Fz6iNjy,4,1,0.25,False,True
0088dc183f73c83f763e,Question_bumGRTJ0c8p4v5D6eHZa,2,1,0.5,False,True
0088dc183f73c83f763e,Question_fZrP3FJ4ebUogW9V7taS,13,2,0.15384615384615385,False,True
0088dc183f73c83f763e,Question_h7pXNg80nJbw1C4kAPRm,5,1,0.2,False,True
0088dc183f73c83f763e,Question_hZ5wXofebmTlzKB1jNcP,2,1,0.5,False,True
0088dc183f73c83f763e,Question_lU2wvHSZq7m43xiVroBc,4,1,0.25,False,True
0088dc183f73c83f763e,Question_n2BTxIGw1Mc3Zo6RLdUe,3,1,0.3333333333333333,False,True
0088dc183f73c83f763e,Question_oCjnFLbIs4Uxwek9rBpu,4,1,0.25,False,True
0088dc183f73c83f763e,Question_pVKXjZn0BkSwYcsa7C31,3,1,0.3333333333333333,False,True
0088dc183f73c83f763e,Question_q7OpB2zCMmW9wS8uNt3H,12,2,0.16666666666666666,False,True
0088dc183f73c83f763e,Question_rvB9mVE6Kbd8jAY4NwPx,4,1,0.25,False,True
0088dc183f73c83f763e,Question_s6VmP1G4UbEQWRYHK9Fd,6,1,0.16666666666666666,False,True
0088dc183f73c83f763e,Question_tgOjrpZLw4RdVzQx85h6,4,1,0.25,False,True
0088dc183f73c83f763e,Question_x2Fy7rZ3SwYl9jMQkpOD,7,1,0.14285714285714285,False,True
0088dc183f73c83f763e,Question_x2L7AqbMuTjCwPFy6vNr,9,3,0.3333333333333333,False,True
0088dc183f73c83f763e,Question_xqlJkmRaP0otZcX4fK3W,1,1,1.0,True,True
00cbf05221bb479e66c3,Question_3MwAFlmNO8EKrpY5zjUd,9,1,0.1111111111111111,False,True
00cbf05221bb479e66c3,Question_3oPyUzDmQtcMfLpGZ0jW,19,1,0.05263157894736842,False,True
00cbf05221bb479e66c3,Question_4nHcauCQ0Y6Pm8DgKlLo,1,1,1.0,True,True
00cbf05221bb479e66c3,Question_5fgqjSBwTPG7KUV3it6O,2,1,0.5,False,True
00cbf05221bb479e66c3,Question_62XbhBvJ8NUSnApgDL94,3,1,0.3333333333333333,False,True
00cbf05221bb479e66c3,Question_6RQj2gF3OeK5AmDvThUV,2,1,0.5,False,True
00cbf05221bb479e66c3,Question_7NJzCXUPcvQF4Mkfh9Wr,7,1,0.14285714285714285,False,True
00cbf05221bb479e66c3,Question_Az73sM0rHfWVKuc4X2kL,3,1,0.3333333333333333,False,True
00cbf05221bb479e66c3,Question_BW0ItEaymH3TkD6S15JF,24,1,0.041666666666666664,False,True
00cbf05221bb479e66c3,Question_EhVPdmlB31M8WKGqL0wc,4,1,0.25,False,True
00cbf05221bb479e66c3,Question_Ej5mBw9rsOUKkFycGvz2,1,1,1.0,True,True
00cbf05221bb479e66c3,Question_FNg8X9v5zcbB1tQrxHR3,1,1,1.0,True,True
00cbf05221bb479e66c3,Question_Jr4Wz5jLqmN01KUwHa7g,4,2,0.5,False,True
00cbf05221bb479e66c3,Question_Mh4CZIsrEfxkP1wXtOYV,3,1,0.3333333333333333,False,True
00cbf05221bb479e66c3,Question_NixCn84GdK2tySa5rB1V,5,1,0.2,False,True
00cbf05221bb479e66c3,Question_Ou3f2Wt9BqExm5DpN7Zk,6,1,0.16666666666666666,False,True
00cbf05221bb479e66c3,Question_QRm48lXxzdP7Tn1WgNOf,4,1,0.25,False,True
00cbf05221bb479e66c3,Question_TmKaGvfNoXYq4FZ2JrBu,6,1,0.16666666666666666,False,True
00cbf05221bb479e66c3,Question_UXqN1F7G3Sbldz02vZne,11,1,0.09090909090909091,False,True
00cbf05221bb479e66c3,Question_VgKw8PjY1FR6cm2QI9XW,5,2,0.4,False,True
00cbf05221bb479e66c3,Question_X3wF8QlTyi4mZkDp9Kae,4,1,0.25,False,True
00cbf05221bb479e66c3,Question_YWXHr4G6Cl7bEm9iF2kQ,5,1,0.2,False,True
00cbf05221bb479e66c3,Question_ZTbD7mxr2OUp8Fz6iNjy,1,1,1.0,True,True
00cbf05221bb479e66c3,Question_bumGRTJ0c8p4v5D6eHZa,8,1,0.125,False,True
00cbf05221bb479e66c3,Question_fZrP3FJ4ebUogW9V7taS,7,1,0.14285714285714285,False,True
00cbf05221bb479e66c3,Question_h7pXNg80nJbw1C4kAPRm,7,2,0.2857142857142857,False,True
00cbf05221bb479e66c3,Question_hZ5wXofebmTlzKB1jNcP,5,1,0.2,False,True
00cbf05221bb479e66c3,Question_lU2wvHSZq7m43xiVroBc,3,2,0.6666666666666666,False,True
00cbf05221bb479e66c3,Question_n2BTxIGw1Mc3Zo6RLdUe,4,1,0.25,False,True
00cbf05221bb479e66c3,Question_oCjnFLbIs4Uxwek9rBpu,3,1,0.3333333333333333,False,True
00cbf05221bb479e66c3,Question_pVKXjZn0BkSwYcsa7C31,5,3,0.6,False,True
00cbf05221bb479e66c3,Question_q7OpB2zCMmW9wS8uNt3H,19,1,0.05263157894736842,False,True
00cbf05221bb479e66c3,Question_rvB9mVE6Kbd8jAY4NwPx,7,1,0.14285714285714285,False,True
00cbf05221bb479e66c3,Question_s6VmP1G4UbEQWRYHK9Fd,13,2,0.15384615384615385,False,True
00cbf05221bb479e66c3,Question_tgOjrpZLw4RdVzQx85h6,7,2,0.2857142857142857,False,True
00cbf05221bb479e66c3,Question_x2Fy7rZ3SwYl9jMQkpOD,5,1,0.2,False,True
00cbf05221bb479e66c3,Question_x2L7AqbMuTjCwPFy6vNr,5,1,0.2,False,True
00cbf05221bb479e66c3,Question_xqlJkmRaP0otZcX4fK3W,12,1,0.08333333333333333,False,True
00df647ee4bf7173642f,Question_3MwAFlmNO8EKrpY5zjUd,23,2,0.08695652173913043,False,True
00df647ee4bf7173642f,Question_3oPyUzDmQtcMfLpGZ0jW,10,1,0.1,False,True
00df647ee4bf7173642f,Question_4nHcauCQ0Y6Pm8DgKlLo,28,2,0.07142857142857142,False,True
00df647ee4bf7173642f,Question_5fgqjSBwTPG7KUV3it6O,22,1,0.045454545454545456,False,True
00df647ee4bf7173642f,Question_62XbhBvJ8NUSnApgDL94,15,1,0.06666666666666667,False,True
00df647ee4bf7173642f,Question_6RQj2gF3OeK5AmDvThUV,23,5,0.21739130434782608,False,True
00df647ee4bf7173642f,Question_7NJzCXUPcvQF4Mkfh9Wr,4,1,0.25,False,True
00df647ee4bf7173642f,Question_Az73sM0rHfWVKuc4X2kL,26,2,0.07692307692307693,False,True
00df647ee4bf7173642f,Question_BW0ItEaymH3TkD6S15JF,7,1,0.14285714285714285,False,True
00df647ee4bf7173642f,Question_EhVPdmlB31M8WKGqL0wc,35,4,0.11428571428571428,False,True
00df647ee4bf7173642f,Question_Ej5mBw9rsOUKkFycGvz2,8,2,0.25,False,True
00df647ee4bf7173642f,Question_FNg8X9v5zcbB1tQrxHR3,39,1,0.02564102564102564,False,True
00df647ee4bf7173642f,Question_Jr4Wz5jLqmN01KUwHa7g,5,1,0.2,False,True
00df647ee4bf7173642f,Question_Mh4CZIsrEfxkP1wXtOYV,7,2,0.2857142857142857,False,True
00df647ee4bf7173642f,Question_NixCn84GdK2tySa5rB1V,1,1,1.0,True,True
00df647ee4bf7173642f,Question_Ou3f2Wt9BqExm5DpN7Zk,12,2,0.16666666666666666,False,True
00df647ee4bf7173642f,Question_QRm48lXxzdP7Tn1WgNOf,14,1,0.07142857142857142,False,True
00df647ee4bf7173642f,Question_TmKaGvfNoXYq4FZ2JrBu,3,1,0.3333333333333333,False,True
00df647ee4bf7173642f,Question_UXqN1F7G3Sbldz02vZne,8,1,0.125,False,True
00df647ee4bf7173642f,Question_VgKw8PjY1FR6cm2QI9XW,7,1,0.14285714285714285,False,True
00df647ee4bf7173642f,Question_X3wF8QlTyi4mZkDp9Kae,16,1,0.0625,False,True
00df647ee4bf7173642f,Question_YWXHr4G6Cl7bEm9iF2kQ,27,1,0.037037037037037035,False,True
00df647ee4bf7173642f,Question_ZTbD7mxr2OUp8Fz6iNjy,2,1,0.5,False,True
00df647ee4bf7173642f,Question_bumGRTJ0c8p4v5D6eHZa,5,1,0.2,False,True
00df647ee4bf7173642f,Question_fZrP3FJ4ebUogW9V7taS,20,1,0.05,False,True
00df647ee4bf7173642f,Question_h7pXNg80nJbw1C4kAPRm,8,1,0.125,False,True
00df647ee4bf7173642f,Question_hZ5wXofebmTlzKB1jNcP,23,2,0.08695652173913043,False,True
00df647ee4bf7173642f,Question_lU2wvHSZq7m43xiVroBc,3,1,0.3333333333333333,False,True
00df647ee4bf7173642f,Question_n2BTxIGw1Mc3Zo6RLdUe,6,1,0.16666666666666666,False,True
00df647ee4bf7173642f,Question_oCjnFLbIs4Uxwek9rBpu,9,2,0.2222222222222222,False,True
00df647ee4bf7173642f,Question_pVKXjZn0BkSwYcsa7C31,4,1,0.25,False,True
00df647ee4bf7173642f,Question_q7OpB2zCMmW9wS8uNt3H,17,1,0.058823529411764705,False,True
00df647ee4bf7173642f,Question_rvB9mVE6Kbd8jAY4NwPx,1,1,1.0,True,True
00df647ee4bf7173642f,Question_s6VmP1G4UbEQWRYHK9Fd,13,1,0.07692307692307693,False,True
00df647ee4bf7173642f,Question_tgOjrpZLw4RdVzQx85h6,6,1,0.16666666666666666,False,True
00df647ee4bf7173642f,Question_x2Fy7rZ3SwYl9jMQkpOD,6,1,0.16666666666666666,False,True
00df647ee4bf7173642f,Question_x2L7AqbMuTjCwPFy6vNr,5,1,0.2,False,True
00df647ee4bf7173642f,Question_xqlJkmRaP0otZcX4fK3W,10,1,0.1,False,True
0107f72b66cbd1a0926d,Question_3MwAFlmNO8EKrpY5zjUd,6,1,0.16666666666666666,False,True
0107f72b66cbd1a0926d,Question_3oPyUzDmQtcMfLpGZ0jW,6,1,0.16666666666666666,False,True
0107f72b66cbd1a0926d,Question_4nHcauCQ0Y6Pm8DgKlLo,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_5fgqjSBwTPG7KUV3it6O,7,1,0.14285714285714285,False,True
0107f72b66cbd1a0926d,Question_62XbhBvJ8NUSnApgDL94,4,1,0.25,False,True
0107f72b66cbd1a0926d,Question_6RQj2gF3OeK5AmDvThUV,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_7NJzCXUPcvQF4Mkfh9Wr,5,1,0.2,False,True
0107f72b66cbd1a0926d,Question_Az73sM0rHfWVKuc4X2kL,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_BW0ItEaymH3TkD6S15JF,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_EhVPdmlB31M8WKGqL0wc,3,2,0.6666666666666666,False,True
0107f72b66cbd1a0926d,Question_Ej5mBw9rsOUKkFycGvz2,2,1,0.5,False,True
0107f72b66cbd1a0926d,Question_FNg8X9v5zcbB1tQrxHR3,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_Jr4Wz5jLqmN01KUwHa7g,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_Mh4CZIsrEfxkP1wXtOYV,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_NixCn84GdK2tySa5rB1V,2,1,0.5,False,True
0107f72b66cbd1a0926d,Question_Ou3f2Wt9BqExm5DpN7Zk,2,1,0.5,False,True
0107f72b66cbd1a0926d,Question_QRm48lXxzdP7Tn1WgNOf,1,1,1.0,True,True
0107f72b66cbd1a0926d,Question_TmKaGvfNoXYq4FZ2JrBu,5,1,0.2,False,True
0107f72b66cbd1a0926d,Question_UXqN1F7G3Sbldz02vZne,10,1,0.1,False,True
0107f72b66cbd1a0926d,Question_VgKw8PjY1FR6cm2QI9XW,1,1,1.0,True,True
