student_ID,knowledge_point,mastery_level,sub_points_count
0088dc183f73c83f763e,b3C9s,0.7184349082244422,3
0088dc183f73c83f763e,g7R2j,0.6177614778501131,3
0088dc183f73c83f763e,k4W1c,0.5496402877697842,2
0088dc183f73c83f763e,m3D1v,0.5751809010694895,4
0088dc183f73c83f763e,r8S3g,0.5105254257775319,3
0088dc183f73c83f763e,s8Y2f,0.4936086105675146,2
0088dc183f73c83f763e,t5V9e,0.4832879852671856,2
0088dc183f73c83f763e,y9W5d,0.5902387856417837,4
00cbf05221bb479e66c3,b3C9s,0.6553131320947325,3
00cbf05221bb479e66c3,g7R2j,0.5606550282693396,3
00cbf05221bb479e66c3,k4W1c,0.6119184652278178,2
00cbf05221bb479e66c3,m3D1v,0.618727626937024,4
00cbf05221bb479e66c3,r8S3g,0.46531735775469163,3
00cbf05221bb479e66c3,s8Y2f,0.5200547945205479,2
00cbf05221bb479e66c3,t5V9e,0.5023562750119765,2
00cbf05221bb479e66c3,y9W5d,0.5109345050408497,4
00df647ee4bf7173642f,b3C9s,0.44863957762747714,3
00df647ee4bf7173642f,g7R2j,0.3993709873129167,3
00df647ee4bf7173642f,k4W1c,0.5564628297362111,2
00df647ee4bf7173642f,m3D1v,0.5232347431233154,4
00df647ee4bf7173642f,r8S3g,0.47018491590769274,3
00df647ee4bf7173642f,s8Y2f,0.4848036529680365,2
00df647ee4bf7173642f,t5V9e,0.447100963535719,2
00df647ee4bf7173642f,y9W5d,0.4728217101036183,4
0107f72b66cbd1a0926d,b3C9s,0.8779781604043831,3
0107f72b66cbd1a0926d,g7R2j,0.6076364521127289,3
0107f72b66cbd1a0926d,k4W1c,0.5039054470709147,2
0107f72b66cbd1a0926d,m3D1v,0.6873949441248948,4
0107f72b66cbd1a0926d,r8S3g,0.699443094289477,3
0107f72b66cbd1a0926d,s8Y2f,0.5725388127853881,2
0107f72b66cbd1a0926d,t5V9e,0.6264164311504731,2
0107f72b66cbd1a0926d,y9W5d,0.6906314689925095,4
011d454f199c123d44ad,b3C9s,0.5988318859206461,3
011d454f199c123d44ad,g7R2j,0.6280781968527529,3
011d454f199c123d44ad,k4W1c,0.7917805755395684,2
011d454f199c123d44ad,m3D1v,0.5950571196451891,4
011d454f199c123d44ad,r8S3g,0.6761603386257663,3
011d454f199c123d44ad,s8Y2f,0.5004579256360078,2
011d454f199c123d44ad,t5V9e,0.5159306532232442,2
011d454f199c123d44ad,y9W5d,0.5984678852103674,4
01558eef77a8d39b7103,b3C9s,0.7544919335748856,3
01558eef77a8d39b7103,g7R2j,0.622503043884326,3
01558eef77a8d39b7103,k4W1c,0.4675739408473222,2
01558eef77a8d39b7103,m3D1v,0.6236835388825694,4
01558eef77a8d39b7103,r8S3g,0.6138917953210279,3
01558eef77a8d39b7103,s8Y2f,0.817095890410959,2
01558eef77a8d39b7103,t5V9e,0.6393092405057039,2
01558eef77a8d39b7103,y9W5d,0.6807136329949104,4
016226278e6a69e10aa4,b3C9s,0.675028089742991,3
016226278e6a69e10aa4,g7R2j,0.5657337272710251,3
016226278e6a69e10aa4,k4W1c,0.4628237410071942,2
016226278e6a69e10aa4,m3D1v,0.69955740848513,4
016226278e6a69e10aa4,r8S3g,0.5034735864557625,3
016226278e6a69e10aa4,s8Y2f,0.6958904109589041,2
016226278e6a69e10aa4,t5V9e,0.4876649157286136,2
016226278e6a69e10aa4,y9W5d,0.5708761940163308,4
01a691413dc5897db83f,b3C9s,0.5172986086199016,3
01a691413dc5897db83f,g7R2j,0.47676199652779655,3
01a691413dc5897db83f,k4W1c,0.4516187050359712,2
01a691413dc5897db83f,m3D1v,0.44496287715997607,4
01a691413dc5897db83f,r8S3g,0.5290001468930533,3
01a691413dc5897db83f,s8Y2f,0.480238747553816,2
01a691413dc5897db83f,t5V9e,0.5153730032516239,2
01a691413dc5897db83f,y9W5d,0.4942522108127312,4
01d8aa21ef476b66c573,b3C9s,0.7236705153912312,3
01d8aa21ef476b66c573,g7R2j,0.7281114959360365,3
01d8aa21ef476b66c573,k4W1c,0.6985611510791367,2
01d8aa21ef476b66c573,m3D1v,0.6693911149254526,4
01d8aa21ef476b66c573,r8S3g,0.7517949719388265,3
01d8aa21ef476b66c573,s8Y2f,0.4699512937595129,2
01d8aa21ef476b66c573,t5V9e,0.7168237415292562,2
01d8aa21ef476b66c573,y9W5d,0.6056279812955513,4
01qkq6w2v62cimidb3b7,b3C9s,0.3384672478793591,3
01qkq6w2v62cimidb3b7,g7R2j,0.37186265804681345,3
01qkq6w2v62cimidb3b7,k4W1c,0.5959969167523125,2
01qkq6w2v62cimidb3b7,m3D1v,0.37078659262046393,4
01qkq6w2v62cimidb3b7,r8S3g,0.15526377217553688,3
01qkq6w2v62cimidb3b7,s8Y2f,0.6195068493150685,2
01qkq6w2v62cimidb3b7,t5V9e,0.3429335235107233,2
01qkq6w2v62cimidb3b7,y9W5d,0.4391217368981184,4
02068067a434adb6556a,r8S3g,0.0,2
0258f681a9e1756dfc76,b3C9s,0.6471889078560599,3
0258f681a9e1756dfc76,g7R2j,0.6430028502270576,3
0258f681a9e1756dfc76,k4W1c,0.4850179856115108,2
0258f681a9e1756dfc76,m3D1v,0.6119425623749093,4
0258f681a9e1756dfc76,r8S3g,0.3931016794325101,3
0258f681a9e1756dfc76,s8Y2f,0.5233150684931507,2
0258f681a9e1756dfc76,t5V9e,0.5399187207018344,2
0258f681a9e1756dfc76,y9W5d,0.4641766877036095,4
03754dce5ec7731fb3e2,b3C9s,0.753125692748332,3
03754dce5ec7731fb3e2,g7R2j,0.605040251731299,3
03754dce5ec7731fb3e2,k4W1c,0.7444724220623501,2
03754dce5ec7731fb3e2,m3D1v,0.7338069518238364,4
03754dce5ec7731fb3e2,r8S3g,0.7149465305716806,3
03754dce5ec7731fb3e2,s8Y2f,0.6046849315068493,2
03754dce5ec7731fb3e2,t5V9e,0.6780586854908298,2
03754dce5ec7731fb3e2,y9W5d,0.6323623611647671,4
037a76bc8e6bf5fe1fc0,b3C9s,0.7191528449706603,3
037a76bc8e6bf5fe1fc0,g7R2j,0.8131429674144875,3
037a76bc8e6bf5fe1fc0,k4W1c,0.8245683453237411,2
037a76bc8e6bf5fe1fc0,m3D1v,0.8219393178625878,4
037a76bc8e6bf5fe1fc0,r8S3g,0.8113393768284297,3
037a76bc8e6bf5fe1fc0,s8Y2f,0.7907397260273972,2
037a76bc8e6bf5fe1fc0,t5V9e,0.8027841102316084,2
037a76bc8e6bf5fe1fc0,y9W5d,0.8158945544800421,4
03aa0b20dd4af1888eef,b3C9s,0.558993493116605,3
03aa0b20dd4af1888eef,g7R2j,0.5313537616491038,3
03aa0b20dd4af1888eef,k4W1c,0.8421402877697842,2
03aa0b20dd4af1888eef,m3D1v,0.6573543629144469,4
03aa0b20dd4af1888eef,r8S3g,0.550742566097115,3
03aa0b20dd4af1888eef,s8Y2f,0.4833150684931506,2
03aa0b20dd4af1888eef,t5V9e,0.6582798121750235,2
03aa0b20dd4af1888eef,y9W5d,0.6815394004240228,4
03b463f52c0fff35433b,b3C9s,0.8513461853572591,3
03b463f52c0fff35433b,g7R2j,0.7694427457214584,3
03b463f52c0fff35433b,k4W1c,0.828884892086331,2
