student_ID,title_ID,min_student_time,title_min_time,title_max_time,time_efficiency,is_fastest
0088dc183f73c83f763e,Question_3MwAFlmNO8EKrpY5zjUd,5.0,2.0,24.0,0.8636363636363636,False
0088dc183f73c83f763e,Question_3oPyUzDmQtcMfLpGZ0jW,4.0,2.0,18.0,0.875,False
0088dc183f73c83f763e,Question_4nHcauCQ0Y6Pm8DgKlLo,4.0,2.0,27.0,0.92,False
0088dc183f73c83f763e,Question_5fgqjSBwTPG7KUV3it6O,3.0,2.0,31.0,0.9655172413793104,False
0088dc183f73c83f763e,Question_62XbhBvJ8NUSnApgDL94,3.0,2.0,24.0,0.9545454545454546,False
0088dc183f73c83f763e,Question_6RQj2gF3OeK5AmDvThUV,3.0,2.0,42.0,0.975,False
0088dc183f73c83f763e,Question_7NJzCXUPcvQF4Mkfh9Wr,2.0,2.0,30.0,1.0,True
0088dc183f73c83f763e,Question_Az73sM0rHfWVKuc4X2kL,3.0,2.0,42.0,0.975,False
0088dc183f73c83f763e,Question_BW0ItEaymH3TkD6S15JF,4.0,2.0,20.0,0.8888888888888888,False
0088dc183f73c83f763e,Question_EhVPdmlB31M8WKGqL0wc,4.0,2.0,29.0,0.9259259259259259,False
0088dc183f73c83f763e,Question_Ej5mBw9rsOUKkFycGvz2,5.0,2.0,26.0,0.875,False
0088dc183f73c83f763e,Question_FNg8X9v5zcbB1tQrxHR3,3.0,2.0,56.0,0.9814814814814815,False
0088dc183f73c83f763e,Question_Jr4Wz5jLqmN01KUwHa7g,3.0,2.0,94.0,0.9891304347826086,False
0088dc183f73c83f763e,Question_Mh4CZIsrEfxkP1wXtOYV,2.0,2.0,41.0,1.0,True
0088dc183f73c83f763e,Question_NixCn84GdK2tySa5rB1V,3.0,2.0,48.0,0.9782608695652174,False
0088dc183f73c83f763e,Question_Ou3f2Wt9BqExm5DpN7Zk,3.0,2.0,47.0,0.9777777777777777,False
0088dc183f73c83f763e,Question_QRm48lXxzdP7Tn1WgNOf,3.0,2.0,27.0,0.96,False
0088dc183f73c83f763e,Question_TmKaGvfNoXYq4FZ2JrBu,3.0,2.0,33.0,0.967741935483871,False
0088dc183f73c83f763e,Question_UXqN1F7G3Sbldz02vZne,3.0,2.0,29.0,0.9629629629629629,False
0088dc183f73c83f763e,Question_VgKw8PjY1FR6cm2QI9XW,4.0,2.0,11.0,0.7777777777777778,False
0088dc183f73c83f763e,Question_X3wF8QlTyi4mZkDp9Kae,6.0,2.0,21.0,0.7894736842105263,False
0088dc183f73c83f763e,Question_YWXHr4G6Cl7bEm9iF2kQ,3.0,2.0,38.0,0.9722222222222222,False
0088dc183f73c83f763e,Question_ZTbD7mxr2OUp8Fz6iNjy,2.0,2.0,30.0,1.0,True
0088dc183f73c83f763e,Question_bumGRTJ0c8p4v5D6eHZa,3.0,2.0,42.0,0.975,False
0088dc183f73c83f763e,Question_fZrP3FJ4ebUogW9V7taS,4.0,2.0,18.0,0.875,False
0088dc183f73c83f763e,Question_h7pXNg80nJbw1C4kAPRm,6.0,2.0,54.0,0.9230769230769231,False
