student_ID,title_ID,min_student_memory,title_min_memory,title_max_memory,memory_efficiency,is_lowest_memory
0088dc183f73c83f763e,Question_3MwAFlmNO8EKrpY5zjUd,324,176,640,0.6810344827586207,False
0088dc183f73c83f763e,Question_3oPyUzDmQtcMfLpGZ0jW,196,176,824,0.9691358024691358,False
0088dc183f73c83f763e,Question_4nHcauCQ0Y6Pm8DgKlLo,368,184,640,0.5964912280701754,False
0088dc183f73c83f763e,Question_5fgqjSBwTPG7KUV3it6O,344,188,748,0.7214285714285714,False
0088dc183f73c83f763e,Question_62XbhBvJ8NUSnApgDL94,328,172,640,0.6666666666666666,False
0088dc183f73c83f763e,Question_6RQj2gF3OeK5AmDvThUV,192,188,696,0.9921259842519685,False
0088dc183f73c83f763e,Question_7NJzCXUPcvQF4Mkfh9Wr,320,180,896,0.8044692737430168,False
0088dc183f73c83f763e,Question_Az73sM0rHfWVKuc4X2kL,312,184,704,0.7538461538461538,False
0088dc183f73c83f763e,Question_BW0ItEaymH3TkD6S15JF,316,164,640,0.680672268907563,False
0088dc183f73c83f763e,Question_EhVPdmlB31M8WKGqL0wc,436,180,860,0.6235294117647059,False
0088dc183f73c83f763e,Question_Ej5mBw9rsOUKkFycGvz2,324,184,748,0.75177304964539,False
0088dc183f73c83f763e,Question_FNg8X9v5zcbB1tQrxHR3,320,180,896,0.8044692737430168,False
0088dc183f73c83f763e,Question_Jr4Wz5jLqmN01KUwHa7g,472,184,640,0.3684210526315789,False
0088dc183f73c83f763e,Question_Mh4CZIsrEfxkP1wXtOYV,200,168,640,0.9322033898305084,False
0088dc183f73c83f763e,Question_NixCn84GdK2tySa5rB1V,472,184,712,0.45454545454545453,False
0088dc183f73c83f763e,Question_Ou3f2Wt9BqExm5DpN7Zk,324,184,640,0.6929824561403509,False
0088dc183f73c83f763e,Question_QRm48lXxzdP7Tn1WgNOf,312,180,728,0.7591240875912408,False
0088dc183f73c83f763e,Question_TmKaGvfNoXYq4FZ2JrBu,500,180,692,0.375,False
0088dc183f73c83f763e,Question_UXqN1F7G3Sbldz02vZne,448,180,8160,0.9664160401002506,False
0088dc183f73c83f763e,Question_VgKw8PjY1FR6cm2QI9XW,320,164,640,0.6722689075630253,False
0088dc183f73c83f763e,Question_X3wF8QlTyi4mZkDp9Kae,200,184,768,0.9726027397260274,False
0088dc183f73c83f763e,Question_YWXHr4G6Cl7bEm9iF2kQ,360,180,640,0.6086956521739131,False
0088dc183f73c83f763e,Question_ZTbD7mxr2OUp8Fz6iNjy,196,172,640,0.9487179487179487,False
0088dc183f73c83f763e,Question_bumGRTJ0c8p4v5D6eHZa,352,180,4424,0.9594721960414703,False
0088dc183f73c83f763e,Question_fZrP3FJ4ebUogW9V7taS,192,160,592,0.9259259259259259,False
0088dc183f73c83f763e,Question_h7pXNg80nJbw1C4kAPRm,336,188,640,0.672566371681416,False
0088dc183f73c83f763e,Question_hZ5wXofebmTlzKB1jNcP,512,180,640,0.2782608695652174,False
0088dc183f73c83f763e,Question_lU2wvHSZq7m43xiVroBc,324,184,740,0.7482014388489209,False
0088dc183f73c83f763e,Question_n2BTxIGw1Mc3Zo6RLdUe,320,164,708,0.7132352941176471,False
0088dc183f73c83f763e,Question_oCjnFLbIs4Uxwek9rBpu,512,180,1980,0.8155555555555556,False
0088dc183f73c83f763e,Question_pVKXjZn0BkSwYcsa7C31,200,180,756,0.9652777777777778,False
0088dc183f73c83f763e,Question_q7OpB2zCMmW9wS8uNt3H,192,160,596,0.926605504587156,False
0088dc183f73c83f763e,Question_rvB9mVE6Kbd8jAY4NwPx,192,160,640,0.9333333333333333,False
0088dc183f73c83f763e,Question_s6VmP1G4UbEQWRYHK9Fd,604,180,640,0.0782608695652174,False
0088dc183f73c83f763e,Question_tgOjrpZLw4RdVzQx85h6,324,168,604,0.6422018348623854,False
0088dc183f73c83f763e,Question_x2Fy7rZ3SwYl9jMQkpOD,352,184,768,0.7123287671232876,False
0088dc183f73c83f763e,Question_x2L7AqbMuTjCwPFy6vNr,192,180,640,0.9739130434782609,False
0088dc183f73c83f763e,Question_xqlJkmRaP0otZcX4fK3W,196,180,616,0.963302752293578,False
00cbf05221bb479e66c3,Question_3MwAFlmNO8EKrpY5zjUd,340,176,640,0.646551724137931,False
00cbf05221bb479e66c3,Question_3oPyUzDmQtcMfLpGZ0jW,192,176,824,0.9753086419753086,False
00cbf05221bb479e66c3,Question_4nHcauCQ0Y6Pm8DgKlLo,512,184,640,0.2807017543859649,False
00cbf05221bb479e66c3,Question_5fgqjSBwTPG7KUV3it6O,312,188,748,0.7785714285714286,False
00cbf05221bb479e66c3,Question_62XbhBvJ8NUSnApgDL94,344,172,640,0.6324786324786325,False
00cbf05221bb479e66c3,Question_6RQj2gF3OeK5AmDvThUV,348,188,696,0.6850393700787402,False
00cbf05221bb479e66c3,Question_7NJzCXUPcvQF4Mkfh9Wr,348,180,896,0.7653631284916201,False
00cbf05221bb479e66c3,Question_Az73sM0rHfWVKuc4X2kL,512,184,704,0.36923076923076925,False
00cbf05221bb479e66c3,Question_BW0ItEaymH3TkD6S15JF,320,164,640,0.6722689075630253,False
00cbf05221bb479e66c3,Question_EhVPdmlB31M8WKGqL0wc,340,180,860,0.7647058823529411,False
00cbf05221bb479e66c3,Question_Ej5mBw9rsOUKkFycGvz2,480,184,748,0.475177304964539,False
00cbf05221bb479e66c3,Question_FNg8X9v5zcbB1tQrxHR3,324,180,896,0.7988826815642458,False
00cbf05221bb479e66c3,Question_Jr4Wz5jLqmN01KUwHa7g,204,184,640,0.956140350877193,False
00cbf05221bb479e66c3,Question_Mh4CZIsrEfxkP1wXtOYV,204,168,640,0.923728813559322,False
00cbf05221bb479e66c3,Question_NixCn84GdK2tySa5rB1V,344,184,712,0.696969696969697,False
00cbf05221bb479e66c3,Question_Ou3f2Wt9BqExm5DpN7Zk,472,184,640,0.3684210526315789,False
00cbf05221bb479e66c3,Question_QRm48lXxzdP7Tn1WgNOf,332,180,728,0.7226277372262774,False
00cbf05221bb479e66c3,Question_TmKaGvfNoXYq4FZ2JrBu,468,180,692,0.4375,False
00cbf05221bb479e66c3,Question_UXqN1F7G3Sbldz02vZne,348,180,8160,0.9789473684210527,False
00cbf05221bb479e66c3,Question_VgKw8PjY1FR6cm2QI9XW,312,164,640,0.6890756302521008,False
00cbf05221bb479e66c3,Question_X3wF8QlTyi4mZkDp9Kae,480,184,768,0.4931506849315068,False
00cbf05221bb479e66c3,Question_YWXHr4G6Cl7bEm9iF2kQ,192,180,640,0.9739130434782609,False
00cbf05221bb479e66c3,Question_ZTbD7mxr2OUp8Fz6iNjy,336,172,640,0.6495726495726496,False
00cbf05221bb479e66c3,Question_bumGRTJ0c8p4v5D6eHZa,512,180,4424,0.9217719132893497,False
00cbf05221bb479e66c3,Question_fZrP3FJ4ebUogW9V7taS,312,160,592,0.6481481481481481,False
00cbf05221bb479e66c3,Question_h7pXNg80nJbw1C4kAPRm,320,188,640,0.7079646017699115,False
00cbf05221bb479e66c3,Question_hZ5wXofebmTlzKB1jNcP,320,180,640,0.6956521739130435,False
00cbf05221bb479e66c3,Question_lU2wvHSZq7m43xiVroBc,364,184,740,0.6762589928057554,False
00cbf05221bb479e66c3,Question_n2BTxIGw1Mc3Zo6RLdUe,312,164,708,0.7279411764705882,False
00cbf05221bb479e66c3,Question_oCjnFLbIs4Uxwek9rBpu,308,180,1980,0.9288888888888889,False
00cbf05221bb479e66c3,Question_pVKXjZn0BkSwYcsa7C31,336,180,756,0.7291666666666666,False
00cbf05221bb479e66c3,Question_q7OpB2zCMmW9wS8uNt3H,356,160,596,0.5504587155963303,False
00cbf05221bb479e66c3,Question_rvB9mVE6Kbd8jAY4NwPx,320,160,640,0.6666666666666666,False
00cbf05221bb479e66c3,Question_s6VmP1G4UbEQWRYHK9Fd,308,180,640,0.7217391304347827,False
00cbf05221bb479e66c3,Question_tgOjrpZLw4RdVzQx85h6,316,168,604,0.6605504587155964,False
00cbf05221bb479e66c3,Question_x2Fy7rZ3SwYl9jMQkpOD,324,184,768,0.7602739726027398,False
00cbf05221bb479e66c3,Question_x2L7AqbMuTjCwPFy6vNr,312,180,640,0.7130434782608696,False
00cbf05221bb479e66c3,Question_xqlJkmRaP0otZcX4fK3W,192,180,616,0.9724770642201835,False
00df647ee4bf7173642f,Question_3MwAFlmNO8EKrpY5zjUd,384,176,640,0.5517241379310345,False
00df647ee4bf7173642f,Question_3oPyUzDmQtcMfLpGZ0jW,348,176,824,0.7345679012345679,False
00df647ee4bf7173642f,Question_4nHcauCQ0Y6Pm8DgKlLo,348,184,640,0.6403508771929824,False
00df647ee4bf7173642f,Question_5fgqjSBwTPG7KUV3it6O,468,188,748,0.5,False
00df647ee4bf7173642f,Question_62XbhBvJ8NUSnApgDL94,328,172,640,0.6666666666666666,False
00df647ee4bf7173642f,Question_6RQj2gF3OeK5AmDvThUV,344,188,696,0.6929133858267716,False
00df647ee4bf7173642f,Question_7NJzCXUPcvQF4Mkfh9Wr,360,180,896,0.7486033519553073,False
00df647ee4bf7173642f,Question_Az73sM0rHfWVKuc4X2kL,400,184,704,0.5846153846153846,False
00df647ee4bf7173642f,Question_BW0ItEaymH3TkD6S15JF,316,164,640,0.680672268907563,False
00df647ee4bf7173642f,Question_EhVPdmlB31M8WKGqL0wc,356,180,860,0.7411764705882353,False
00df647ee4bf7173642f,Question_Ej5mBw9rsOUKkFycGvz2,348,184,748,0.7092198581560284,False
00df647ee4bf7173642f,Question_FNg8X9v5zcbB1tQrxHR3,328,180,896,0.7932960893854749,False
